Alphabet cardinality, Epsilon percentage, Automaton's size (#states), Automaton's transitions percentage, Automaton's max distance, Automaton's safe-zone distance, SC min, SC avg, SC max, ESC min, ESC avg, ESC max
5, 1.000000, 1000, 0.000000, 200, 60, 14, 14.300000, 15, 33, 36.500000, 39
5, 0.000000, 1000, 0.050000, 200, 60, 89, 91.000000, 95, 26, 35.100000, 42
5, 0.300000, 1000, 0.050000, 200, 60, 54, 57.100000, 59, 70, 73.900000, 85
5, 0.600000, 1000, 0.050000, 200, 60, 30, 32.100000, 35, 47, 51.100000, 58
5, 0.800000, 1000, 0.050000, 200, 60, 20, 20.700000, 23, 36, 40.200000, 43
5, 1.000000, 1000, 0.050000, 200, 60, 14, 15.100000, 22, 33, 36.500000, 40
5, 0.000000, 1000, 0.100000, 200, 60, 85, 90.300000, 95, 31, 36.700000, 43
5, 0.300000, 1000, 0.100000, 200, 60, 55, 57.900000, 63, 70, 76.900000, 83
5, 0.600000, 1000, 0.100000, 200, 60, 30, 32.200000, 34, 47, 50.900000, 57
5, 0.800000, 1000, 0.100000, 200, 60, 21, 21.400000, 22, 36, 40.600000, 45
5, 1.000000, 1000, 0.100000, 200, 60, 14, 14.400000, 15, 33, 37.100000, 44
5, 0.000000, 1000, 0.200000, 200, 60, 86, 89.100000, 91, 32, 37.600000, 43
5, 0.300000, 1000, 0.200000, 200, 60, 54, 57.600000, 62, 68, 73.100000, 78
5, 0.600000, 1000, 0.200000, 200, 60, 27, 32.100000, 35, 47, 50.400000, 53
5, 0.800000, 1000, 0.200000, 200, 60, 20, 20.700000, 22, 34, 41.100000, 46
5, 1.000000, 1000, 0.200000, 200, 60, 14, 14.400000, 15, 33, 36.800000, 41
5, 0.000000, 1000, 0.000000, 500, 60, 89, 98.500000, 115, 26, 32.800000, 38
5, 0.300000, 1000, 0.000000, 500, 60, 50, 53.900000, 59, 78, 85.300000, 113
5, 0.600000, 1000, 0.000000, 500, 60, 23, 24.500000, 26, 55, 56.800000, 60
5, 0.800000, 1000, 0.000000, 500, 60, 12, 12.500000, 13, 45, 46.900000, 50
5, 1.000000, 1000, 0.000000, 500, 60, 7, 7.500000, 8, 42, 44.800000, 48
5, 0.000000, 1000, 0.050000, 500, 60, 90, 92.300000, 95, 27, 30.600000, 35
5, 0.300000, 1000, 0.050000, 500, 60, 48, 50.900000, 53, 76, 79.000000, 83
5, 0.600000, 1000, 0.050000, 500, 60, 22, 24.200000, 26, 53, 56.300000, 60
5, 0.800000, 1000, 0.050000, 500, 60, 12, 12.100000, 13, 43, 46.500000, 53
5, 1.000000, 1000, 0.050000, 500, 60, 7, 7.200000, 8, 43, 45.600000, 50
5, 0.000000, 1000, 0.100000, 500, 60, 91, 93.300000, 97, 27, 31.400000, 37
5, 0.300000, 1000, 0.100000, 500, 60, 51, 52.500000, 55, 76, 79.100000, 82
5, 0.600000, 1000, 0.100000, 500, 60, 23, 25.900000, 29, 54, 58.000000, 62
5, 0.800000, 1000, 0.100000, 500, 60, 11, 12.000000, 14, 40, 46.000000, 50
5, 1.000000, 1000, 0.100000, 500, 60, 7, 7.500000, 8, 42, 45.400000, 51
5, 0.000000, 1000, 0.200000, 500, 60, 88, 92.700000, 98, 25, 31.400000, 39
5, 0.300000, 1000, 0.200000, 500, 60, 49, 52.700000, 55, 75, 81.300000, 86
5, 0.600000, 1000, 0.200000, 500, 60, 22, 25.700000, 29, 57, 59.200000, 63
5, 0.800000, 1000, 0.200000, 500, 60, 12, 12.500000, 14, 45, 47.500000, 54
5, 1.000000, 1000, 0.200000, 500, 60, 7, 7.700000, 8, 41, 46.900000, 53
5, 0.000000, 1000, 0.000000, 10, 80, 101, 102.500000, 106, 9, 11.000000, 12
5, 0.300000, 1000, 0.000000, 10, 80, 102, 103.500000, 105, 8, 11.100000, 12
5, 0.600000, 1000, 0.000000, 10, 80, 102, 103.100000, 106, 9, 11.300000, 12
5, 0.800000, 1000, 0.000000, 10, 80, 101, 102.400000, 105, 8, 10.900000, 12
5, 1.000000, 1000, 0.000000, 10, 80, 101, 102.000000, 103, 8, 10.900000, 12
5, 0.000000, 1000, 0.050000, 10, 80, 101, 102.000000, 103, 9, 10.900000, 12
5, 0.300000, 1000, 0.050000, 10, 80, 102, 104.000000, 108, 8, 11.500000, 13
5, 0.600000, 1000, 0.050000, 10, 80, 103, 104.300000, 107, 7, 11.100000, 12
5, 0.800000, 1000, 0.050000, 10, 80, 102, 102.300000, 105, 7, 10.900000, 13
5, 1.000000, 1000, 0.050000, 10, 80, 101, 101.900000, 103, 9, 11.100000, 12
5, 0.000000, 1000, 0.100000, 10, 80, 101, 101.900000, 103, 8, 10.700000, 11
5, 0.300000, 1000, 0.100000, 10, 80, 101, 102.400000, 106, 8, 10.800000, 12
5, 0.600000, 1000, 0.100000, 10, 80, 101, 102.000000, 103, 8, 10.900000, 12
5, 0.800000, 1000, 0.100000, 10, 80, 102, 103.000000, 109, 9, 11.200000, 12
5, 1.000000, 1000, 0.100000, 10, 80, 101, 102.300000, 104, 9, 11.100000, 12
5, 0.000000, 1000, 0.200000, 10, 80, 102, 103.800000, 110, 8, 11.100000, 12
5, 0.300000, 1000, 0.200000, 10, 80, 103, 104.900000, 110, 8, 11.200000, 12
5, 0.600000, 1000, 0.200000, 10, 80, 101, 103.300000, 108, 8, 11.100000, 12
5, 0.800000, 1000, 0.200000, 10, 80, 101, 102.100000, 103, 8, 11.200000, 12
5, 1.000000, 1000, 0.200000, 10, 80, 104, 110.900000, 120, 8, 11.500000, 12
5, 0.000000, 1000, 0.000000, 50, 80, 105, 107.600000, 111, 9, 11.500000, 13
5, 0.300000, 1000, 0.000000, 50, 80, 103, 106.400000, 109, 7, 11.400000, 12
5, 0.600000, 1000, 0.000000, 50, 80, 103, 105.200000, 109, 8, 11.400000, 13
5, 0.800000, 1000, 0.000000, 50, 80, 104, 104.800000, 107, 8, 11.300000, 12
5, 1.000000, 1000, 0.000000, 50, 80, 103, 104.300000, 107, 8, 11.300000, 12
5, 0.000000, 1000, 0.050000, 50, 80, 105, 107.300000, 113, 8, 11.600000, 13
5, 0.300000, 1000, 0.050000, 50, 80, 104, 106.700000, 112, 10, 11.700000, 12
5, 0.600000, 1000, 0.050000, 50, 80, 103, 203.300000, 1089, 8, 11.400000, 12
5, 0.800000, 1000, 0.050000, 50, 80, 108, 111.000000, 114, 8, 112.200000, 600
5, 1.000000, 1000, 0.050000, 50, 80, 109, 144.500000, 457, 12, 12.100000, 13
